Price,House_Type,Area,Bedrooms,Bathrooms,Receptions,Location,County,Central_London_Flag,Area_Classifier
635000,Flat / Apartment,774,2,2,2,Wandsworth,London,No,small
875000,Flat / Apartment,767,2,2,2,Islington,London,Yes,small
875000,Flat / Apartment,693,2,2,2,Westminster,London,No,small
800000,Flat / Apartment,548,2,2,2,Westminster,London,Yes,small
1178000,New development,847,2,2,2,Wandsworth,London,No,small
725000,House,804,1,1,1,Hackney,London,No,small
600000,New development,870,1,1,1,Ealing,London,No,small
695000,Flat / Apartment,537,1,1,1,Kensington and Chelsea,London,No,small
699950,Flat / Apartment,902,2,2,2,Wandsworth,London,No,small
600000,House,570,2,2,2,Merton,London,No,small
895000,House,900,3,3,3,Merton,London,No,small
500000,Flat / Apartment,622,2,2,2,Wandsworth,London,No,small
625000,Flat / Apartment,797,2,2,2,Hackney,London,No,small
450000,Flat / Apartment,377,1,1,1,Westminster,London,No,small
795000,Flat / Apartment,691,1,1,1,Westminster,London,No,small
1175000,Flat / Apartment,793,2,2,2,Kensington and Chelsea,London,No,small
1550000,Flat / Apartment,923,2,2,2,Kensington and Chelsea,London,No,small
1300000,Flat / Apartment,914,2,2,2,Kensington and Chelsea,London,No,small
795000,New development,823,2,2,2,Wandsworth,London,No,small
799950,Flat / Apartment,890,2,2,2,Hammersmith and Fulham,London,No,small
650000,Flat / Apartment,743,2,2,2,Hammersmith and Fulham,London,No,small
560000,Flat / Apartment,779,1,1,1,Wandsworth,London,No,small
910000,House,960,3,3,3,Wandsworth,London,No,small
399950,Flat / Apartment,621,1,1,1,Merton,London,No,small
465000,Flat / Apartment,592,1,1,1,Merton,London,No,small
825000,Flat / Apartment,947,2,2,2,Wandsworth,London,No,small
1195000,Flat / Apartment,879,2,2,2,Camden,London,No,small
550000,New development,542,1,1,1,Lambeth,London,No,small
985000,Flat / Apartment,677,2,2,2,Camden,London,Yes,small
530000,Flat / Apartment,482,1,1,1,Islington,London,No,small
575000,Flat / Apartment,707,2,2,2,Hackney,London,No,small
300000,Flat / Apartment,517,1,1,1,Newham,London,No,small
510000,New development,577,1,1,1,Wandsworth,London,No,small
350000,Flat / Apartment,302,1,1,1,Hammersmith and Fulham,London,No,small
875000,Flat / Apartment,981,2,2,2,Hammersmith and Fulham,London,No,small
950000,Flat / Apartment,817,2,2,2,Camden,London,No,small
475000,Flat / Apartment,650,2,2,2,Islington,London,No,small
575000,New development,840,2,2,2,Islington,London,No,small
599950,New development,930,3,3,3,Hackney,London,No,small
585000,Flat / Apartment,881,2,2,2,Hackney,London,No,small
910000,Flat / Apartment,683,1,1,1,Southwark,London,No,small
700000,Flat / Apartment,758,2,2,2,Hammersmith and Fulham,London,No,small
425000,Flat / Apartment,549,1,1,1,Merton,London,No,small
775000,Flat / Apartment,990,2,2,2,Wandsworth,London,No,small
649000,New development,560,1,1,1,Hammersmith and Fulham,London,No,small
499950,Flat / Apartment,386,1,1,1,Islington,London,No,small
399950,Flat / Apartment,806,3,3,3,Hackney,London,No,small
500000,Flat / Apartment,527,1,1,1,Hackney,London,No,small
799950,House,766,2,2,2,Wandsworth,London,No,small
595000,Flat / Apartment,683,1,1,1,Wandsworth,London,No,small
625000,Flat / Apartment,693,2,2,2,Westminster,London,No,small
935000,Flat / Apartment,829,2,2,2,Westminster,London,No,small
599995,Flat / Apartment,710,2,2,2,Hackney,London,No,small
525000,New development,666,1,1,1,Ealing,London,No,small
800000,Flat / Apartment,992,2,2,2,Lambeth,London,No,small
775000,House,634,2,2,2,Kensington and Chelsea,London,No,small
650000,Duplex,890,2,2,2,Wandsworth,London,No,small
550000,New development,547,1,1,1,Camden,London,No,small
595000,New development,807,2,2,2,Ealing,London,No,small
545000,New development,773,2,2,2,Tower Hamlets,London,No,small
822500,New development,869,2,2,2,Wandsworth,London,No,small
699950,Flat / Apartment,787,2,2,2,Islington,London,No,small
435000,Flat / Apartment,527,1,1,1,Islington,London,No,small
645000,New development,904,2,2,2,Ealing,London,No,small
725000,Flat / Apartment,924,3,3,3,Hammersmith and Fulham,London,No,small
850000,House,780,2,2,2,Wandsworth,London,No,small
475000,Flat / Apartment,598,1,1,1,Wandsworth,London,No,small
525000,New development,558,1,1,1,Wandsworth,London,No,small
370000,Flat / Apartment,400,1,1,1,Hackney,London,No,small
715000,Flat / Apartment,764,2,2,2,Westminster,London,No,small
985000,Flat / Apartment,978,2,2,2,Westminster,London,No,small
350000,Flat / Apartment,420,1,1,1,Ealing,London,No,small
899950,Flat / Apartment,939,2,2,2,Wandsworth,London,No,small
480000,New development,577,1,1,1,Wandsworth,London,No,small
825000,Flat / Apartment,869,2,2,2,Hammersmith and Fulham,London,No,small
585000,Flat / Apartment,784,2,2,2,Merton,London,No,small
899000,New development,982,2,2,2,Lambeth,London,No,small
475000,House,890,2,2,2,Waltham Abbey,Essex,No,small
599995,Flat / Apartment,528,1,1,1,Hackney,London,No,small
550000,Flat / Apartment,736,2,2,2,Hackney,London,No,small
690000,Flat / Apartment,753,2,2,2,Islington,London,Yes,small
1175000,Flat / Apartment,949,2,2,2,Islington,London,Yes,small
1045000,New development,810,2,2,2,Hammersmith and Fulham,London,No,small
699950,Flat / Apartment,848,2,2,2,Wandsworth,London,No,small
845000,Flat / Apartment,960,2,2,2,Westminster,London,No,small
550000,New development,562,1,1,1,Brent,London,No,small
1095000,Flat / Apartment,945,1,1,1,Westminster,London,Yes,small
1100000,Flat / Apartment,985,3,3,3,Camden,London,No,small
500000,Flat / Apartment,670,1,1,1,Kensington and Chelsea,London,No,small
